"","work_year","job_category","salary_in_usd","experience_level","employment_type","work_setting","company_size","is_Data_Engineer","is_Data_Scientist","is_Data_Analyst","is_Machine_Learning_Engineer","is_Applied_Scientist","is_Research_Scientist","is_Analytics_Engineer","is_Data_Architect","is_residence_US"
"8381",2022,"Data Science and Research",183000,"Senior","Full-time","Remote","L",0,1,0,0,0,0,0,0,1
"8382",2022,"Data Analysis",99750,"Senior","Full-time","Remote","M",0,0,1,0,0,0,0,0,1
"8383",2022,"Data Analysis",68400,"Senior","Full-time","Remote","M",0,0,1,0,0,0,0,0,1
"8384",2022,"Data Science and Research",236900,"Senior","Full-time","Remote","L",0,1,0,0,0,0,0,0,1
"8385",2022,"Data Science and Research",159200,"Senior","Full-time","Remote","L",0,1,0,0,0,0,0,0,1
"8386",2022,"Data Science and Research",243225,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
"8387",2022,"Data Science and Research",179775,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
"8388",2022,"Data Engineering",175000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8389",2022,"Data Engineering",150000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8390",2022,"Machine Learning and AI",210000,"Senior","Full-time","Remote","M",0,0,0,1,0,0,0,0,1
"8391",2022,"Machine Learning and AI",180000,"Senior","Full-time","Remote","M",0,0,0,1,0,0,0,0,1
"8392",2022,"Data Science and Research",148000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8393",2022,"Data Science and Research",128000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8394",2022,"Data Architecture and Modeling",190000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,1,1
"8395",2022,"Data Architecture and Modeling",135000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,1,1
"8396",2022,"Leadership and Management",130000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"8397",2022,"Leadership and Management",110000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"8398",2022,"Data Science and Research",191475,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8399",2022,"Data Science and Research",141525,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8400",2022,"Data Engineering",160000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8401",2022,"Data Engineering",85000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8402",2022,"Data Science and Research",218000,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"8403",2022,"Data Science and Research",145300,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
